Accno	Trimpoints Used	Used Trimmed Length	Orig Trimpoints	Orig Trimmed Length	Raw Length
HSKHDBE01CF3S1	56-363	308	15-363	349	367
HSKHDBE01CC6P8	55-497	443	15-513	499	515
HSKHDBE01DM2KS	56-456	401	15-456	442	469
HSKHDBE01D8KQ3	54-76	23	15-76	62	435
HSKHDBE01EFNKW	54-504	451	15-504	490	507
HSKHDBE01BH0U1	55-179	125	15-179	165	512
HSKHDBE01A8G5M	99-119	21	15-119	105	157
HSKHDBE01D2AH5	59-507	449	15-507	493	523
HSKHDBE01DC0UC	56-397	342	15-408	394	545
HSKHDBE01DY4C6	54-236	183	15-250	236	587
HSKHDBE01DKHHE	56-399	344	15-399	385	557
HSKHDBE01DWCEW	54-500	447	15-500	486	503
HSKHDBE01DZ9NV	56-457	402	15-457	443	553
HSKHDBE01DF1EN	57-442	386	15-442	428	538
HSKHDBE01BXXYJ	54-391	338	15-423	409	495
HSKHDBE01DMTZ7	54-54	1	15-54	40	782
HSKHDBE01DSSPH	74-107	34	15-107	93	108
HSKHDBE01AQOJX	56-170	115	15-170	156	209
HSKHDBE01DRYZJ	57-363	307	15-363	349	368
HSKHDBE01BD2K6	43-43	1	15-81	67	160
HSKHDBE01CVEL9	55-178	124	15-178	164	500
HSKHDBE01B41EO	56-502	447	15-502	488	517
HSKHDBE01A5SGI	60-383	324	15-408	394	466
HSKHDBE01ALKTM	54-221	168	15-221	207	465
HSKHDBE01DBR6S	58-387	330	15-387	373	516
HSKHDBE01CYTCC	56-404	349	15-404	390	486
HSKHDBE01AI5Q7	93-514	422	15-514	500	521
HSKHDBE01EEGYY	58-495	438	15-495	481	514
HSKHDBE01CIJKU	55-429	375	15-429	415	520
HSKHDBE01AU4JK	56-477	422	15-494	480	524
HSKHDBE01AO8QF	93-509	417	15-509	495	522
HSKHDBE01DJ683	59-500	442	15-500	486	516
HSKHDBE01CZLID	93-483	391	15-483	469	520
HSKHDBE01EQ1L5	59-480	422	15-480	466	500
HSKHDBE01CU1K2	56-291	236	15-291	277	294
HSKHDBE01DKCZH	59-83	25	15-83	69	548
HSKHDBE01CCE1F	59-500	442	15-500	486	505
HSKHDBE01ASOIH	56-313	258	15-313	299	574
HSKHDBE01ELIIL	37-101	65	15-101	87	652
HSKHDBE01CLD1T	56-514	459	15-514	500	520
HSKHDBE01DL2CQ	54-440	387	15-440	426	456
HSKHDBE01EGAHT	56-492	437	15-492	478	497
HSKHDBE01CGJLE	55-519	465	15-519	505	522
HSKHDBE01EAQQR	37-376	340	15-422	408	454
HSKHDBE01AFHJC	58-239	182	15-239	225	559
HSKHDBE01APWB1	54-278	225	15-278	264	280
HSKHDBE01B441E	59-327	269	15-327	313	336
HSKHDBE01BUWXB	55-448	394	15-448	434	504
HSKHDBE01C9HJO	61-464	404	15-464	450	469
HSKHDBE01BGV54	57-472	416	15-481	467	510
HSKHDBE01A5AO8	56-460	405	15-460	446	477
HSKHDBE01AT67D	57-354	298	15-354	340	368
HSKHDBE01BKH8K	56-491	436	15-491	477	497
HSKHDBE01B2G5V	61-462	402	15-494	480	515
HSKHDBE01DIA2M	61-296	236	15-296	282	298
HSKHDBE01DUUA8	57-473	417	15-479	465	520
HSKHDBE01DDLYM	54-455	402	15-455	441	457
HSKHDBE01EVPC6	56-399	344	15-399	385	403
HSKHDBE01CJ0GW	56-124	69	15-126	112	438
HSKHDBE01EIHP5	55-296	242	15-296	282	423
HSKHDBE01BH7LP	57-440	384	15-440	426	504
HSKHDBE01DFLLZ	56-458	403	15-458	444	517
HSKHDBE01EKUPI	79-344	266	15-344	330	347
HSKHDBE01BG8F2	59-77	19	15-77	63	502
HSKHDBE01DTV8V	56-471	416	15-507	493	510
HSKHDBE01CR0UK	46-46	1	15-46	32	839
HSKHDBE01B7B3L	57-437	381	15-437	423	441
HSKHDBE01BAQL6	59-445	387	15-445	431	470
HSKHDBE01BJ6T7	54-458	405	15-473	459	520
HSKHDBE01C39DW	46-46	1	15-46	32	515
HSKHDBE01DHFO9	56-472	417	15-501	487	511
HSKHDBE01BV0PA	59-109	51	15-109	95	537
HSKHDBE01CWWA7	55-281	227	15-281	267	284
HSKHDBE01DDZMA	57-450	394	15-450	436	499
HSKHDBE01C7463	58-486	429	15-486	472	510
HSKHDBE01B6R2Q	55-313	259	15-314	300	556
HSKHDBE01A2ML2	59-515	457	15-515	501	520
HSKHDBE01DEH8W	58-283	226	15-283	269	286
HSKHDBE01A3NP0	61-463	403	15-463	449	471
HSKHDBE01B4F3N	57-530	474	15-530	516	538
HSKHDBE01CLSWS	56-504	449	15-540	526	544
HSKHDBE01CQ1S9	54-520	467	15-531	517	551
HSKHDBE01D67EG	54-344	291	15-344	330	348
HSKHDBE01EUU8N	34-34	1	15-54	40	610
HSKHDBE01ADOF2	58-503	446	15-527	513	548
HSKHDBE01EI2MT	61-502	442	15-502	488	516
HSKHDBE01BHQUG	61-464	404	15-464	450	468
HSKHDBE01AX68N	56-254	199	15-254	240	559
HSKHDBE01CW2AH	56-286	231	15-299	285	371
HSKHDBE01ERVBT	57-432	376	15-432	418	437
HSKHDBE01BK0K9	54-421	368	15-421	407	525
HSKHDBE01BOCDN	35-35	1	15-69	55	630
HSKHDBE01AQA47	80-335	256	15-335	321	347
HSKHDBE01AXVSS	55-166	112	15-186	172	611
HSKHDBE01DELFN	59-508	450	15-509	495	511
HSKHDBE01BF5YK	56-501	446	15-540	526	543
HSKHDBE01DBINT	58-499	442	15-499	485	511
HSKHDBE01DQVC9	56-504	449	15-535	521	556
HSKHDBE01ALD1Q	56-406	351	15-406	392	531
HSKHDBE01BPU89	57-86	30	15-124	110	634
HSKHDBE01DXDF8	52-469	418	14-473	460	535
HSKHDBE01A6Y79	59-499	441	15-508	494	530
HSKHDBE01AS256	59-193	135	15-193	179	744
HSKHDBE01C831H	55-196	142	15-196	182	197
HSKHDBE01DWT6M	56-511	456	15-511	497	516
HSKHDBE01D5JNU	57-140	84	15-140	126	494
HSKHDBE01ARVRB	57-294	238	15-294	280	297
HSKHDBE01BGTR5	58-436	379	15-436	422	514
HSKHDBE01EBT78	57-337	281	15-337	323	601
HSKHDBE01AVKYO	94-470	377	15-470	456	524
HSKHDBE01BVTVA	57-492	436	15-492	478	543
HSKHDBE01EF6LR	61-512	452	15-512	498	518
HSKHDBE01D0WU2	56-388	333	15-388	374	408
HSKHDBE01A1COY	60-426	367	15-426	412	493
HSKHDBE01AU3TR	55-449	395	15-449	435	537
HSKHDBE01DQOEM	55-446	392	15-482	468	507
HSKHDBE01C2DPA	58-493	436	15-493	479	514
HSKHDBE01D9OQ7	58-83	26	16-83	68	733
HSKHDBE01DGXYS	59-165	107	15-165	151	556
HSKHDBE01CCNPZ	55-266	212	15-284	270	595
HSKHDBE01A7VKW	55-509	455	15-510	496	522
HSKHDBE01B4FD2	57-102	46	15-102	88	465
HSKHDBE01AK3IY	93-371	279	15-371	357	516
HSKHDBE01DC7T6	54-58	5	15-58	44	693
HSKHDBE01DQTJ5	56-471	416	15-500	486	511
